Date,Subscribers,Reach,Item Views,Hits
01-01-2017,25047,4627,9682,27225
01-02-2017,25204,1676,5434,28042
01-03-2017,25491,1485,6318,29824
01-04-2017,26503,6290,17238,48911
01-05-2017,26654,6544,16224,45521
01-06-2017,26851,6574,16717,43071
01-07-2017,26899,8026,22485,37825
01-08-2017,26791,6235,17706,41712
01-09-2017,25783,1626,6928,29823
01-10-2017,26093,1440,6374,31816
01-11-2017,27153,7204,17633,47007
01-12-2017,9495,7383,18405,44242
01-13-2017,9546,6672,17209,39722
01-14-2017,26756,7313,19343,38598
01-15-2017,27133,6287,18488,35961
01-16-2017,26124,1666,6377,31445
01-17-2017,25874,1728,6155,33733
01-18-2017,27245,6283,16287,38239
01-19-2017,27595,7585,19709,40198
01-20-2017,27667,8180,25778,45718
01-21-2017,27098,6889,20924,39998
01-22-2017,27592,8068,24207,38831
01-23-2017,26525,2760,9073,38339
01-24-2017,26974,2272,9251,40491
01-25-2017,28171,8885,23076,54885
01-26-2017,28357,8047,21261,41371
01-27-2017,28400,7683,19367,52517
01-28-2017,28267,8471,25166,52350
01-29-2017,28104,7725,19812,43748
01-30-2017,27175,2206,0,34352
01-31-2017,27611,6317,15620,44449
